ccfe7080-82e1-44ff-ab21-69ef4236b68c,-,Tokyo,Asia,Japan,49.97.102.110,35.685,"35.685,139.7514",139.75,-,Ntt Docomo,-,Tokyo,2014-09-03T11:54:16
a4dfbd94-435b-4330-a302-5d40813a711d,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-04T22:54:00
e3fa42f7-20fb-4ab4-96e4-eeaf96367110,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-13T06:59:47
377d90b6-8d44-4c89-810d-6214f134a903,512,Austin,North America,United States,173.174.40.141,30.168,"30.1678,-97.8225",-97.823,635,Time Warner Cable,78748,Texas,2014-09-06T12:45:24
bcfbd4fd-7d0d-4bdf-a653-124b17e853cd,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-13T06:59:57
9452a7a6-4dba-46cb-8173-85ce5767fb7e,512,Austin,North America,United States,173.174.34.250,30.206,"30.2058,-97.8002",-97.8,635,Time Warner Cable,78745,Texas,2014-08-12T22:52:43
5c0aeded-89a4-4f67-bde6-0192a307e579,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-09T16:35:35
91a3861f-7a95-4482-bde0-0a80ab5b7322,,,,,173.174.40.141,0,"0.0,0.0",0,,,,,2014-11-11T09:47:19
0442aed1-3f69-498b-90ae-d2def39f61bc,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-07T21:28:19
05e39a09-3e84-496a-b1d6-886cfbbb3f1f,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-07-23T20:47:35
633fd7c1-c3a1-487a-94ff-02607b8efffa,-,Toronto,North America,Canada,69.165.178.18,43.667,"43.6667,-79.4167",-79.417,-,Yak Communications (Canada) Corp,-,Ontario,2014-07-25T05:08:17
c15cfcd6-d97b-4cf0-84c7-e83a7572c1c6,719,Como,North America,United States,12.69.21.253,39.316,"39.3161,-105.8928",-105.89,751,Marriott International,80432,Colorado,2014-08-14T22:16:16
684bc2d8-9b7c-4c8a-8b2c-1dfb242fbfd8,408,San Jose,North America,United States,12.111.84.106,37.339,"37.3394,-121.895",-121.89,807,AT&T Services,-,California,2014-09-05T18:47:24
29e84f3a-ae11-4bbf-a165-377774301063,510,Alameda,North America,United States,173.13.168.241,37.765,"37.7652,-122.2416",-122.24,807,Marriott Fishermans Wharf,-,California,2014-09-08T19:44:47
