1447688871.350147 - smartdata - INFO - Using webserver: localhost:3000
1447688871.350406 - smartdata - INFO - Priming data...
1447688871.350486 - smartdata - INFO - Populating past data...
1447688871.357759 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688876.362389 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688881.366157 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688886.368418 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688891.371056 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688896.374747 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688901.380862 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688906.387043 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688911.393142 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688916.401084 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688921.407895 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688926.414207 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688931.421114 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688936.424571 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688941.431073 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
1447688946.437945 - smartdata - WARNING - Failed sensor update: {'value_ts': datetime.datetime(2015, 11, 11, 8, 47, 51, 350385), 'sensor_id': 'temp_BirdCage', 'value': 69}
